,Product description accuracy,Manufacturer sustainability,Packaging quality,Additional options,Helpfulness of reviews and ratings,Integrity of packaging,Ease check-out procedure,Relevance of related products,Costumer insurance,Satisfaction
27718,5,3,5,4,4,5,4,5,5,0
27719,1,1,2,3,3,3,3,4,2,0
27720,5,3,2,3,3,5,5,4,2,0
27721,1,1,5,3,2,2,5,3,5,1
27722,4,4,5,5,3,5,5,5,5,1
27724,4,4,1,4,4,4,2,4,1,0
27725,4,4,4,5,5,5,4,5,4,1
27727,5,3,5,4,2,4,4,5,5,0
27728,1,1,5,2,2,2,4,2,3,0
27729,4,4,5,4,4,4,5,4,5,1
27730,2,2,2,4,4,4,3,4,3,1
27731,4,4,3,3,5,4,4,5,3,0
27732,3,4,4,2,2,2,4,2,3,0
27733,2,2,1,1,5,1,1,2,1,0
27734,4,2,1,2,5,4,1,5,1,0
27735,5,5,2,5,5,5,2,5,4,1
27736,4,1,4,4,4,2,3,4,4,0
27737,1,1,3,4,4,4,3,4,3,1
27738,1,1,2,4,4,4,5,4,4,1
27739,0,4,4,4,2,3,1,3,4,0
27740,2,4,2,3,4,3,3,3,2,0
27742,1,1,3,5,5,5,4,5,3,1
27743,3,3,2,5,5,5,5,5,5,1
27744,4,3,5,4,4,5,3,4,4,1
27745,5,1,4,3,1,3,5,3,5,0
27746,5,5,5,5,5,5,5,5,5,1
27747,5,4,2,5,3,4,4,4,2,0
27748,5,2,4,4,4,5,4,5,4,0
27750,4,4,3,2,5,3,4,3,3,0
27751,3,3,2,3,4,3,2,3,2,0
27752,4,4,1,3,3,3,4,3,1,0
27753,3,3,4,2,1,4,5,1,4,0
27754,4,4,3,3,2,4,4,3,3,0
27755,4,3,3,5,0,3,2,5,3,0
27756,1,3,4,1,2,1,3,1,4,0
27757,4,4,2,4,4,4,4,4,4,1
27758,5,1,4,3,2,3,4,5,4,0
27760,2,2,5,4,3,3,4,3,5,1
27761,4,4,4,4,2,4,3,4,4,1
27762,4,4,5,4,5,3,4,1,5,1
27763,3,3,3,2,3,2,2,3,3,0
27764,4,4,1,4,2,5,4,5,1,0
27765,2,3,4,2,4,3,4,4,4,0
27767,4,3,2,5,5,4,4,5,2,0
27768,2,2,3,3,3,5,2,1,3,1
27770,4,4,4,4,1,4,4,3,4,0
27771,1,1,5,3,1,2,4,1,5,1
27772,3,3,3,5,5,5,5,5,5,1
27773,2,2,2,5,5,5,3,5,3,1
27774,5,3,4,3,2,3,3,3,4,0
27775,1,1,5,5,3,1,5,5,5,1
27777,1,1,2,1,1,1,1,1,3,0
27779,5,1,2,4,3,4,3,5,3,0
27780,3,3,3,3,4,4,4,4,3,1
27781,4,4,4,3,3,4,2,3,4,1
27782,2,3,2,1,2,3,3,4,2,0
27784,4,2,2,4,1,4,4,4,4,0
27786,4,4,3,5,5,4,5,4,3,0
27787,4,1,2,2,4,3,5,5,5,0
27788,3,1,4,4,5,4,4,4,4,1
27789,1,1,1,3,3,3,4,3,3,0
27790,1,1,3,1,5,2,3,2,3,0
27791,2,2,3,4,5,4,4,4,3,1
27793,1,1,2,4,4,4,3,4,4,1
27794,5,5,1,2,4,5,3,5,3,0
27796,1,3,5,1,1,1,2,1,3,0
27797,0,4,3,3,5,1,4,2,3,1
27798,3,4,5,2,5,3,4,5,4,1
27800,4,3,5,4,3,4,5,4,5,0
27801,2,2,3,5,4,4,3,5,3,1
27802,1,2,2,3,4,2,4,2,2,0
27803,4,4,2,2,2,2,2,2,1,0
27804,5,3,4,3,4,4,4,5,4,0
27805,4,3,3,1,0,1,4,1,5,1
27807,0,4,5,4,4,5,3,4,4,1
27809,5,5,5,4,4,4,3,4,3,1
27810,2,2,3,5,5,5,5,5,3,1
27813,3,3,3,2,3,4,2,3,3,0
27814,2,3,4,4,3,4,1,3,4,0
27816,2,2,2,1,2,3,2,3,2,0
27817,3,3,2,4,4,4,5,4,3,1
27818,5,5,5,4,4,4,3,4,3,1
27819,2,4,4,3,4,4,5,4,4,0
27820,1,3,2,1,3,3,3,3,2,0
27823,4,4,5,3,5,5,5,3,5,1
27824,2,2,2,5,5,5,5,5,4,1
27825,5,4,2,5,4,4,3,5,3,0
27826,5,1,2,3,2,4,3,4,2,0
27827,5,5,5,5,3,4,5,3,5,1
27828,4,4,4,4,4,4,5,4,5,1
27830,2,2,3,2,2,2,4,2,4,1
27831,4,4,4,1,5,3,4,4,4,0
27832,5,1,1,3,1,5,2,1,1,0
27835,4,2,3,1,1,1,4,1,5,1
27836,3,3,4,5,3,5,4,5,4,1
27838,3,3,2,4,4,4,4,4,2,0
27839,0,4,3,2,2,2,4,2,5,1
27840,1,1,5,4,3,4,1,1,5,1
27841,5,2,5,3,3,4,4,5,5,0
27842,5,5,3,4,4,4,1,4,2,0
27844,0,4,5,1,2,4,3,3,5,0
27845,5,5,3,5,5,5,4,5,4,1
27846,5,5,3,4,4,4,3,4,4,1
27847,5,2,4,3,5,5,4,4,4,0
27849,1,1,4,5,5,5,3,5,4,1
27850,1,1,1,1,1,1,3,1,3,0
27851,1,1,1,4,4,3,2,5,1,1
27852,4,4,3,1,4,4,1,2,3,1
27853,4,4,3,5,5,5,3,5,4,1
27854,4,4,2,4,4,4,3,4,4,1
27855,1,1,4,4,4,4,2,4,4,1
27856,5,5,4,5,5,5,5,5,4,1
27857,2,3,5,2,3,2,3,2,1,0
27858,5,5,1,3,3,3,1,3,1,0
27859,1,1,4,5,4,5,3,5,4,1
27860,4,4,4,1,1,1,4,1,4,0
27861,4,4,3,1,4,3,3,2,3,0
27862,5,5,1,2,2,2,1,2,2,0
27863,1,1,3,5,5,5,3,5,5,1
27864,2,2,2,3,3,3,5,3,5,1
27865,2,2,4,4,4,4,3,4,3,1
27868,3,3,3,4,1,3,1,3,3,0
27869,4,4,3,4,4,5,5,4,3,1
27871,4,1,2,3,1,3,3,3,3,0
27872,0,2,3,3,5,5,4,3,5,1
27874,1,1,3,4,4,4,5,4,3,1
27875,1,1,4,2,2,2,2,2,2,0
27877,5,5,2,5,5,5,4,5,3,1
27878,4,1,3,2,3,4,3,3,3,0
27879,4,4,3,3,4,3,3,3,4,1
27880,3,3,5,5,5,5,5,5,5,1
27881,4,4,4,1,1,1,4,1,2,0
27883,2,2,1,4,1,2,4,3,1,0
27884,5,5,2,4,4,4,4,4,5,1
27887,1,1,2,4,4,4,4,4,5,1
27888,4,4,2,2,1,3,3,4,2,0
27889,5,1,2,2,3,2,3,2,3,0
27890,5,4,4,3,2,5,4,3,3,0
27891,5,5,3,2,3,5,2,4,3,1
27892,4,2,2,4,4,4,3,5,2,0
27893,4,4,2,4,4,4,5,4,5,1
27894,5,4,1,5,4,5,5,4,1,0
27895,4,2,2,4,2,4,4,4,2,0
27896,4,4,2,3,3,3,3,3,3,0
27897,0,1,2,3,4,4,4,4,2,1
27898,4,3,1,2,4,3,2,3,1,0
27899,3,3,2,3,3,3,4,3,4,1
27900,4,1,3,5,4,5,3,4,3,0
27901,1,1,3,2,2,2,3,2,4,0
27902,5,5,3,4,4,4,3,4,4,1
27903,5,5,5,1,5,2,5,2,5,1
27904,4,3,3,1,2,1,3,1,5,0
27905,5,4,3,1,5,2,1,2,1,0
27906,5,5,3,3,3,3,4,3,3,0
27908,4,4,1,1,1,1,4,1,2,0
27909,4,4,1,1,4,3,2,3,1,0
27910,5,5,3,5,5,5,4,5,4,1
27911,3,3,4,4,4,4,5,4,4,1
27913,1,3,5,3,2,4,2,3,5,0
27914,3,3,5,4,4,4,3,4,3,1
27915,3,2,3,5,0,5,1,5,3,1
27917,3,3,5,3,5,5,5,5,5,1
27918,5,2,5,4,2,4,4,4,5,0
27919,2,2,1,4,3,1,2,4,3,0
27920,2,2,2,5,5,5,3,5,4,1
27922,3,4,1,1,5,4,5,4,5,0
27923,3,3,2,2,2,2,1,2,1,0
27924,4,5,5,4,5,4,5,4,3,1
27925,5,5,4,5,4,5,5,5,5,1
27926,3,3,1,2,2,2,2,2,2,0
27927,4,4,5,3,4,4,4,4,5,0
27928,5,3,4,5,5,4,5,4,4,0
27929,3,3,4,5,5,5,4,5,4,1
27931,5,5,2,5,5,5,5,4,2,1
27932,1,1,3,4,4,4,3,4,3,1
27933,4,4,5,5,4,5,5,5,4,1
27934,4,4,3,4,5,4,4,4,4,1
27936,1,1,5,4,4,4,5,4,4,1
27937,2,2,1,1,5,3,1,4,1,0
27938,4,4,3,1,3,4,4,4,3,0
27939,5,5,2,3,4,4,5,4,2,0
27940,2,2,3,5,5,5,5,5,4,1
27941,4,4,5,2,2,1,5,5,5,1
27942,2,2,5,3,3,3,4,3,1,0
27943,5,4,2,3,3,4,4,5,4,0
27944,3,3,3,3,3,4,1,4,3,0
27945,5,3,1,4,3,3,2,1,1,0
27946,3,3,3,4,3,3,1,4,3,0
27947,1,1,2,3,3,3,2,3,1,0
27948,1,1,4,5,5,5,3,5,3,1
27949,5,3,3,4,2,4,5,4,3,1
27950,5,1,4,4,4,4,4,4,2,1
27951,2,2,3,5,5,5,5,5,3,1
27952,5,5,3,1,5,3,4,4,3,0
27953,1,4,5,1,4,4,1,3,5,0
27954,3,3,3,3,3,2,3,1,3,0
27956,3,3,3,5,5,5,5,5,5,1
27957,3,5,1,1,1,3,4,5,1,0
27959,3,3,5,3,3,3,4,3,5,1
27960,2,2,5,3,1,5,1,3,5,1
27961,1,4,1,1,1,1,2,1,2,0
27963,4,4,5,4,4,4,5,4,5,1
27965,5,4,1,5,4,5,4,4,1,0
27966,3,3,2,3,3,4,2,4,2,0
27967,1,1,1,4,4,4,4,4,3,0
27968,3,3,3,4,4,4,3,4,4,1
27969,0,1,4,3,3,3,3,3,3,1
27970,1,1,1,1,4,3,2,3,1,0
27971,4,4,1,3,5,3,1,3,1,0
27972,2,3,3,3,4,2,1,3,3,1
27973,3,3,4,5,5,5,3,5,4,1
27974,3,3,3,4,2,4,3,3,3,0
27975,5,5,5,4,4,4,4,4,4,1
27976,2,2,5,5,4,5,1,3,5,1
27978,5,5,2,4,4,4,4,4,5,1
27979,2,3,5,4,3,4,5,2,5,1
27980,1,1,3,5,5,5,4,5,3,1
27981,3,3,4,2,2,2,4,2,4,0
27982,5,4,4,2,1,2,3,2,4,0
27983,4,5,4,5,5,5,5,4,4,0
27984,5,5,4,5,5,5,3,5,5,1
27985,3,3,5,5,2,2,4,3,5,1
27986,5,5,2,5,5,5,3,5,4,1
27987,3,3,5,4,3,5,5,4,5,1
27988,1,4,2,4,4,1,2,4,3,0
27990,4,5,3,4,5,4,5,5,3,0
27991,2,2,5,5,2,2,1,4,5,1
27992,0,4,2,2,5,5,5,2,2,1
27993,3,3,4,4,4,2,5,1,4,1
27995,3,3,5,5,4,5,4,5,5,1
27996,4,4,4,4,2,5,5,5,4,0
27998,5,5,3,2,2,1,2,3,3,1
27999,4,4,3,4,4,4,4,4,4,1
28002,5,4,3,5,3,5,3,5,3,0
28003,5,5,2,4,4,4,1,4,2,0
28004,4,3,5,3,4,4,3,4,5,0
28005,3,2,4,2,5,2,3,3,4,0
28007,4,4,4,2,2,2,3,2,4,1
28008,2,2,5,1,1,1,3,1,4,0
28009,5,1,1,3,3,5,4,5,1,0
28010,4,4,4,5,5,5,4,5,4,1
28012,4,4,4,4,5,4,4,4,4,1
28013,5,5,1,3,3,3,2,3,3,0
28014,4,2,2,1,4,1,5,1,3,0
28015,1,1,3,4,3,2,3,3,3,0
28016,3,3,2,3,1,3,3,4,2,0
28017,5,5,4,3,4,5,3,4,4,1
28019,4,1,3,3,3,4,3,4,3,0
28020,3,3,1,4,5,4,4,4,1,1
28021,1,4,2,4,4,4,4,4,5,1
28023,4,3,3,3,4,3,4,5,3,0
28024,5,5,4,5,5,5,4,5,1,1
28025,2,4,4,4,3,4,4,4,4,1
28027,1,4,3,1,1,3,2,4,3,0
28028,5,4,4,5,3,4,2,3,4,0
28029,1,4,4,4,2,3,1,4,4,0
28030,2,2,2,5,5,5,4,5,5,1
28032,2,2,3,5,4,5,5,4,3,0
28033,3,3,5,1,3,4,2,3,5,0
28034,3,4,2,2,4,3,4,4,2,0
28035,3,3,1,3,2,3,3,3,1,0
28036,4,3,3,5,1,4,1,1,3,0
28037,3,5,1,3,4,3,2,3,4,0
28038,5,4,5,4,4,5,3,5,5,0
28040,4,3,5,1,2,1,5,1,4,0
28041,1,1,3,4,5,4,5,4,3,1
28042,1,1,5,5,1,5,2,3,5,1
28044,5,2,4,5,4,5,5,5,4,0
28045,4,2,4,4,2,5,5,5,4,0
28046,5,4,2,5,4,5,3,5,3,0
28047,4,4,3,4,4,4,4,4,3,1
28048,2,2,2,2,4,3,2,3,2,0
28049,4,4,4,5,3,4,3,4,4,0
28050,2,4,2,3,2,3,1,4,2,0
28052,3,3,5,5,5,5,5,5,3,1
28054,4,4,2,1,2,1,4,1,1,0
28055,3,3,1,2,2,2,2,2,2,0
28058,1,1,2,4,4,4,3,4,3,1
28059,1,4,2,4,2,4,1,3,2,0
28060,4,3,4,2,2,1,2,2,3,0
28061,3,3,5,5,5,5,3,5,4,1
28062,5,4,4,3,1,3,1,3,4,0
28063,5,5,3,3,4,3,3,4,3,0
28064,5,1,2,5,3,5,5,5,2,0
28065,4,4,5,2,1,3,3,5,5,1
28066,4,4,4,2,2,2,4,2,2,0
28068,4,4,5,1,4,1,5,4,5,1
28069,5,5,4,3,3,3,2,3,2,0
28070,3,3,4,2,2,4,1,4,4,0
28071,4,4,1,1,1,2,1,3,1,0
28072,1,3,4,2,1,3,4,4,4,0
28073,4,4,2,1,3,3,3,4,2,0
28076,1,1,3,2,5,3,3,3,3,0
28077,2,2,3,3,3,3,1,3,1,0
28079,2,3,2,4,1,4,3,4,4,0
28080,5,1,1,5,2,3,5,1,1,1
28081,5,1,5,3,2,3,5,2,5,0
28082,3,3,2,5,5,5,3,5,4,1
28083,4,4,2,2,3,2,4,3,2,0
28085,0,3,5,3,3,3,5,3,1,1
28086,4,2,5,4,2,4,3,4,5,0
28087,5,3,5,4,2,4,3,4,5,0
28088,4,4,4,5,2,5,4,1,4,1
28089,3,3,4,1,1,3,3,3,4,0
28090,1,1,4,4,4,4,4,4,4,1
28091,5,3,4,2,0,2,3,2,3,1
28092,1,1,4,3,3,5,4,4,4,1
28093,1,1,2,3,3,3,4,3,3,0
28094,1,1,1,3,4,4,2,4,1,0
28095,4,4,3,4,4,4,3,4,4,1
28096,1,3,4,2,1,3,1,3,4,0
28097,4,4,3,5,5,5,5,5,5,1
28098,2,2,3,4,4,4,4,4,3,1
28099,1,1,2,3,3,3,1,3,1,0
28100,5,5,5,4,4,4,1,4,2,1
28102,4,2,4,5,2,4,3,5,4,0
28103,5,3,3,4,5,4,5,4,3,0
28104,5,5,4,4,4,4,3,4,4,1
28105,5,1,5,3,5,4,5,5,5,1
28106,1,1,5,3,3,5,4,4,5,1
28108,4,2,1,3,1,3,4,1,1,0
28109,1,1,2,2,2,2,5,2,4,1
28110,3,3,5,4,4,4,2,4,1,1
28111,4,1,4,3,5,4,3,5,4,0
28112,2,2,3,5,5,5,5,5,3,1
28113,2,2,5,5,5,5,4,5,4,1
28114,4,4,4,4,4,4,4,4,4,1
28115,5,4,3,5,2,3,1,4,3,0
28116,1,1,3,5,5,5,3,5,5,1
28118,2,2,2,4,4,4,5,4,3,1
28119,2,2,3,2,2,2,5,4,3,1
28120,5,3,5,1,5,1,5,1,1,0
28123,3,3,5,3,4,3,1,3,5,1
28124,3,3,4,5,5,3,1,5,3,1
28126,5,1,4,4,2,4,3,5,4,0
28127,4,4,2,3,2,4,1,3,2,0
28129,5,3,3,4,4,4,4,4,5,1
28130,4,4,3,2,2,2,2,2,4,0
28131,5,2,4,3,4,5,4,5,4,0
28132,4,4,3,2,2,2,3,2,2,0
28134,5,5,1,1,1,1,3,1,3,0
28135,5,5,2,3,4,4,1,5,1,0
28137,1,1,3,5,5,5,3,5,3,1
28138,4,3,3,5,4,5,5,5,4,1
28139,1,3,3,3,1,1,3,2,3,0
28140,4,4,5,2,4,5,5,4,5,1
28141,2,4,5,2,1,2,3,2,1,0
28142,5,1,2,3,5,5,3,4,2,0
28143,1,1,5,4,4,4,5,4,3,1
28144,5,2,5,4,2,1,4,1,5,0
28145,4,5,4,3,4,4,4,5,4,0
28146,5,5,2,3,3,3,3,3,4,0
28147,5,4,5,5,5,5,4,5,5,0
28148,1,1,4,4,3,2,2,3,4,1
28149,5,2,5,2,1,2,5,2,3,0
28150,4,4,2,4,4,4,4,4,3,1
28151,1,1,4,5,5,5,3,5,5,1
28152,4,4,4,4,1,3,4,2,4,0
28153,3,3,4,2,2,2,1,2,2,0
28154,2,2,1,1,2,2,3,1,1,0
28155,1,1,4,4,5,4,5,4,4,1
28157,4,1,4,4,2,5,3,4,4,0
28158,4,4,2,3,3,3,4,3,3,0
28159,4,4,2,1,4,3,1,3,2,1
28160,1,1,4,4,2,5,4,4,4,1
28161,5,2,2,4,1,1,2,1,2,0
28162,3,3,5,5,5,5,4,4,5,1
28163,4,1,5,3,3,5,3,4,5,0
28165,1,1,4,4,4,4,4,5,4,1
28166,5,5,3,2,5,3,1,4,3,0
28167,4,1,1,3,2,3,5,5,1,1
28168,4,4,1,2,2,2,2,2,3,0
28169,2,2,4,2,2,2,2,2,3,0
28170,4,3,3,4,3,3,4,4,4,0
28171,1,1,5,5,3,5,4,4,4,1
28173,5,5,2,2,2,2,5,2,3,1
28175,5,5,1,4,4,4,4,4,3,0
28178,2,2,3,5,4,5,5,5,4,1
28179,2,2,1,3,3,3,1,1,1,0
28180,4,4,5,4,4,4,4,4,4,1
28181,3,3,3,4,3,3,3,2,3,0
28182,3,3,2,5,5,5,5,4,2,1
28183,0,2,1,3,5,3,5,5,1,0
28184,2,2,3,4,4,3,2,4,1,1
28185,1,1,2,4,4,4,4,4,5,1
28186,1,1,2,4,4,4,5,4,3,1
28187,4,4,4,2,3,3,3,3,4,0
28188,1,2,2,2,1,2,4,2,3,0
28189,4,4,4,5,5,5,5,5,5,1
28190,4,5,4,3,1,2,2,5,4,0
28191,5,5,4,4,4,5,1,4,3,1
28192,2,2,3,4,3,2,4,5,3,1
28193,1,2,4,1,3,2,2,2,4,0
28194,4,2,4,5,2,5,3,5,4,0
28195,2,2,5,2,2,2,3,2,3,1
28196,2,2,2,3,3,3,2,3,2,0
28197,2,4,4,1,3,4,2,4,2,1
28199,1,1,4,1,3,4,4,1,4,0
28201,5,1,4,3,4,5,4,4,4,0
28202,4,3,3,3,3,3,3,3,4,0
28203,5,1,2,4,2,5,3,5,2,0
28204,5,5,4,5,2,4,5,5,4,1
28205,3,1,1,5,1,1,1,2,1,1
28207,4,1,4,1,2,1,3,1,4,0
28209,5,5,4,4,5,3,1,2,4,0
28210,3,3,5,2,3,2,4,5,5,1
28211,4,3,5,4,3,4,5,4,5,0
28212,1,4,4,3,2,3,3,4,4,1
28213,3,3,2,3,2,3,2,3,2,0
28214,1,1,2,5,5,5,5,5,4,1
28216,3,5,1,2,5,5,5,4,1,0
28217,4,5,3,2,2,4,5,3,3,0
28218,2,4,1,5,3,5,1,5,2,0
28220,4,4,2,3,3,1,1,1,2,0
28221,5,5,3,1,1,3,3,3,3,0
28222,2,4,5,4,3,4,2,3,5,0
28223,4,4,4,4,4,4,5,4,5,1
28224,1,1,4,5,5,5,5,5,3,1
28225,3,3,4,5,5,5,3,5,5,1
28226,5,5,2,5,5,5,4,5,3,1
28227,4,4,5,2,1,1,4,2,5,1
28229,2,2,2,3,4,3,4,3,4,1
28230,3,3,3,4,4,4,3,4,5,1
28233,1,4,2,3,3,3,3,3,4,1
28234,2,2,4,3,1,4,1,3,4,0
28235,0,3,4,4,2,5,3,5,4,0
28236,2,2,3,4,5,2,3,2,3,0
28237,3,3,1,2,2,2,1,2,4,0
28240,0,2,2,1,2,1,4,1,3,0
28242,1,2,3,4,4,2,2,3,3,0
28243,1,1,1,3,3,1,3,3,4,0
28244,0,1,5,3,1,3,4,3,4,0
28246,2,2,1,5,5,5,1,5,1,1
28247,2,2,3,2,2,3,2,3,3,0
28248,5,5,1,3,3,3,4,3,2,0
28250,2,3,4,2,4,4,4,4,4,0
28251,2,4,3,1,5,3,4,4,3,0
28252,3,3,4,2,5,5,4,3,4,1
28253,2,2,2,2,2,3,3,3,3,0
28255,5,3,5,5,2,5,5,5,5,0
28256,2,2,4,1,1,5,4,3,4,1
28257,4,4,4,5,5,5,3,5,4,1
28258,2,2,2,3,3,5,5,4,2,1
28259,1,3,1,3,2,3,4,3,1,0
28262,4,1,1,1,2,1,2,1,3,0
28263,5,2,3,5,2,5,5,5,5,0
28264,4,4,3,4,4,5,4,4,4,1
28265,2,2,3,2,2,2,4,2,5,1
28266,5,5,2,3,3,3,4,3,2,0
28267,1,2,4,3,4,2,1,2,4,0
28268,1,1,5,5,5,5,4,5,3,1
28269,3,3,4,4,4,4,4,4,5,1
28272,4,4,1,4,4,4,1,4,4,0
28273,5,5,4,5,1,5,1,5,4,1
28274,3,3,2,4,5,4,4,4,4,1
28276,4,5,2,2,3,3,4,3,2,0
28277,3,3,3,3,3,3,4,3,3,1
28278,2,2,2,4,4,4,4,4,3,1
28280,1,1,1,2,2,2,1,2,4,0
28281,3,3,1,3,3,1,2,2,1,0
28282,1,1,2,2,2,2,4,2,4,0
28283,3,3,5,4,5,1,3,2,5,1
28285,3,3,5,4,4,4,5,4,4,1
28287,4,4,3,2,2,2,2,2,1,0
28288,5,2,2,1,5,3,3,2,2,0
28289,5,2,3,5,2,5,4,5,3,0
28291,3,5,2,2,2,1,5,2,2,0
28292,5,5,3,4,4,5,3,4,4,1
28293,2,2,4,5,5,5,3,5,4,1
28294,5,5,5,3,4,4,4,3,5,1
28295,2,4,2,3,1,3,3,4,2,0
28297,1,1,5,5,5,5,3,5,3,1
28298,5,2,2,5,3,5,5,4,2,0
28299,4,4,4,4,4,4,3,4,5,1
28301,2,2,3,4,4,4,5,4,3,1
28302,2,2,2,4,4,4,3,4,4,1
28303,1,1,4,3,5,3,4,4,4,0
28304,2,2,4,1,1,3,1,4,4,0
28305,4,4,4,5,5,5,3,5,4,1
28307,5,5,5,5,3,4,5,3,5,1
28308,2,2,5,4,4,4,4,4,5,1
28309,1,2,3,3,2,3,3,3,3,0
28310,5,3,4,3,4,4,5,5,4,0
28311,4,2,1,3,4,5,4,5,1,0
28312,2,3,3,4,2,3,3,4,3,0
28313,1,1,3,4,4,4,4,4,3,1
28314,1,1,4,2,2,2,3,2,1,0
28315,1,1,2,5,5,5,5,5,3,1
28317,2,2,1,2,2,4,3,2,1,0
28318,4,4,3,1,4,2,4,3,3,0
28319,4,4,4,5,4,5,5,4,4,1
28320,4,5,4,5,3,1,1,3,4,0
28321,5,5,4,4,4,4,4,4,5,1
28322,2,2,4,3,3,3,3,3,1,0
28325,3,3,3,4,4,4,3,4,4,0
28326,5,5,4,3,4,3,3,3,3,1
28327,4,3,3,2,3,3,2,3,3,0
28329,2,2,3,5,4,4,3,4,3,0
28330,3,3,2,5,5,5,5,5,3,1
28331,0,1,1,5,2,4,3,5,1,0
28332,4,4,1,3,2,5,2,5,1,0
28334,1,3,4,1,1,3,1,4,4,0
28335,5,5,4,5,4,4,1,4,4,1
28336,4,4,2,4,3,4,3,4,4,0
28337,5,4,4,5,5,4,5,4,4,0
28339,3,3,5,4,4,4,4,4,3,1
28340,2,2,4,1,3,4,2,4,4,0
28341,5,5,4,3,2,4,5,4,4,1
28342,3,2,3,3,3,2,3,1,3,0
28343,4,3,3,5,5,4,5,4,3,0
28344,3,3,5,4,2,5,3,4,5,1
28346,4,1,3,5,1,2,4,4,3,0
28347,1,1,4,2,2,2,3,2,3,1
28348,2,3,2,1,5,3,4,4,2,0
28349,1,1,3,4,4,4,4,4,5,1
28350,5,1,5,2,5,1,3,4,5,1
28351,5,5,4,4,4,4,2,4,3,0
28352,1,1,4,5,5,5,3,5,4,1
28353,4,4,3,2,2,2,3,2,3,1
28354,2,2,2,4,1,4,2,5,2,1
28355,5,5,2,5,5,5,4,5,5,1
28356,5,2,1,4,5,4,5,3,5,0
28357,3,3,4,1,1,2,1,1,4,0
28358,4,2,2,5,5,2,5,5,2,0
28359,5,5,4,4,4,4,2,4,1,0
28360,5,5,5,4,4,4,3,4,4,1
28362,4,2,1,4,4,4,5,4,1,0
28363,4,4,3,4,3,5,5,4,3,0
28364,2,2,3,3,3,3,1,2,3,0
28365,4,4,5,5,5,5,3,5,4,1
28367,5,5,2,1,4,4,1,4,2,0
28370,5,2,5,3,5,5,4,4,5,0
28371,3,3,5,5,5,5,4,5,4,1
28372,1,1,2,5,5,5,3,5,3,1
28373,5,5,4,4,5,4,4,5,4,1
28375,5,5,4,3,3,3,3,3,3,0
28376,3,3,4,2,2,2,1,2,4,0
28377,2,4,2,1,2,4,2,4,2,1
28378,5,3,5,3,3,1,5,3,3,0
28380,4,1,2,5,5,4,5,4,2,0
28381,1,1,5,4,3,4,3,4,4,0
28382,4,4,3,2,2,2,4,2,4,0
28383,5,4,2,3,5,4,4,5,2,0
28384,3,3,5,4,4,4,3,4,4,1
28385,3,3,5,3,3,3,4,3,4,0
28386,2,4,3,2,1,3,2,4,3,0
28387,3,3,4,3,5,4,3,1,4,0
28388,2,2,4,2,4,4,2,1,4,1
28389,2,2,1,1,1,2,2,1,3,0
28390,4,4,2,4,4,4,5,4,5,1
28391,3,3,5,2,2,2,5,2,4,1
28393,4,4,3,3,2,2,3,3,4,0
28394,5,3,1,4,1,3,5,4,1,0
28395,1,1,5,4,4,4,5,4,4,1
28396,5,5,4,1,1,1,2,1,1,0
28398,4,2,3,3,3,2,4,1,3,0
28399,5,4,5,4,5,3,5,4,5,0
28400,1,1,3,4,4,4,5,4,4,1
28404,5,5,5,4,4,4,5,4,4,1
28406,1,1,2,5,5,5,4,5,2,1
28408,0,4,4,3,3,4,5,5,4,0
28409,5,5,2,4,4,5,4,4,3,1
28410,2,2,2,3,4,3,1,2,2,0
28411,1,1,4,4,4,4,5,4,5,1
28412,4,4,5,4,4,4,5,4,3,1
28413,5,3,4,3,2,4,5,4,4,1
28414,2,1,5,4,4,4,4,4,4,1
28415,4,4,1,2,2,2,3,2,4,0
28416,4,4,3,5,5,5,3,5,3,1
28417,5,5,5,5,2,5,5,5,5,1
28419,5,5,4,1,3,5,5,2,4,1
28420,5,1,2,2,4,2,3,2,5,1
28421,4,4,2,3,4,5,3,4,2,1
28422,5,1,3,3,4,5,5,5,3,0
28423,3,4,4,1,2,3,2,4,4,0
28424,2,2,4,4,4,4,3,4,3,1
28425,4,1,5,3,3,3,4,3,3,0
28427,1,5,4,2,4,1,4,4,4,1
28428,5,3,4,2,5,4,1,2,4,1
28429,1,1,2,2,5,3,4,3,2,0
28430,2,3,5,1,4,4,3,3,5,0
28431,2,2,5,3,2,4,5,2,5,1
28432,1,1,5,4,4,4,4,4,3,1
28434,3,3,5,5,4,5,3,5,5,1
28435,3,3,2,5,5,5,3,5,2,1
28436,4,1,2,1,2,5,4,1,3,0
28438,2,3,2,1,3,2,3,3,2,1
28439,4,1,3,4,2,4,4,4,3,0
28440,4,4,1,3,5,4,5,5,1,0
28443,2,2,5,3,3,4,3,4,5,1
28444,4,4,2,5,5,5,5,5,4,1
28445,3,4,3,4,2,4,2,3,3,0
28446,2,2,5,1,1,1,2,1,2,0
28447,4,3,4,2,5,4,4,3,4,0
28448,3,3,1,2,1,3,3,3,1,1
28449,3,3,5,4,4,4,3,4,4,1
28450,4,1,2,3,3,5,4,5,2,0
28452,1,1,4,3,4,3,3,3,3,1
28454,5,5,4,3,5,3,4,3,4,0
28455,1,1,4,5,5,5,5,5,4,1
28456,1,5,3,5,5,4,5,4,3,0
28459,2,4,3,2,2,2,3,2,1,0
28460,5,5,4,4,4,4,5,4,5,1
28461,4,2,4,4,1,3,4,1,4,0
